Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
16,0.0227697142070808,0,0.00838875620636011,0,0.00668974767251633,0
32,0.00532828373156841,2.09537337047142,0.00201539140198261,2.05739687274709,0.00166170174803713,2.00929033356161
64,0.00132507077621319,2.0076014874597,0.000502217375398133,2.00467619859301,0.00041417345507741,2.00435446458008
128,0.000331836498125917,1.99752494094969,0.000125521785367162,2.00037416509061,0.000103112694213536,2.00601313833217
256,8.31362776534022e-05,1.99692251532519,3.1386993116471e-05,1.99969904780309,2.56908473268563e-05,2.00489557534564
