Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
16,0.015577271026154,0,0.00525344089930318,0,0.00372279893436729,0
32,0.00402448227985257,1.95256740242361,0.00136026117727674,1.94937898584634,0.00108045045885094,1.78475477658118
64,0.00101081684127104,1.99328159660978,0.00034266721617268,1.98900360574417,0.000263840110082028,2.03389711187759
128,0.000253115587566032,1.99765334591746,8.5787260131846e-05,1.99797285143159,6.6340269665871e-05,1.99170712417737
256,6.3257362772139e-05,2.00049103976372,2.1448819586971e-05,1.99986516296325,1.65460395622069e-05,2.00339893972627
