Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
16,0.0806024988570254,0,0.0264662600884797,0,0.0147170950080803,0
32,0.0385950471604118,1.06240884554176,0.0125677696162605,1.07442570445495,0.0065859706167499,1.16002494694945
64,0.0187282802569681,1.04319729191446,0.0060817244589436,1.04717627985064,0.00304201176195184,1.11437034411645
128,0.00920345933952739,1.02497028921685,0.00298635939405209,1.02609265716712,0.00145566729031375,1.06334508277334
256,0.00455912139226587,1.01342041116084,0.00147913836409537,1.01363078355893,0.000710266443014631,1.03524841747854
