Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
16,0.0154688541747514,0,0.00521654451846315,0,0.0037209507107425,0
32,0.00399274481037655,1.95391356333561,0.00134810478189091,1.95216183540913,0.00105972715503274,1.81197841408572
64,0.00100315712120302,1.99283327923997,0.000339275691459943,1.99040266266822,0.000259040746689948,2.03244191149921
128,0.000251119906431681,1.99809928663958,8.48967761827239e-05,1.99867639111849,6.5043128552926e-05,1.99371049200755
256,6.27531552268292e-05,2.00061649181396,2.12210417293205e-05,2.00021429171524,1.61923908724715e-05,2.00608063106699
