Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
16,0.0154698043153691,0,0.00521690478714983,0,0.00372097995741694,0
32,0.00399307173530612,1.95388405234231,0.00134822563846022,1.95213213767685,0.00105993831398183,1.81170231395656
64,0.00100323337010193,1.99284174836873,0.000339309681187983,1.99038746680364,0.000259083630162818,2.03249053679574
128,0.00025114020052581,1.99809235441466,8.49057131138249e-05,1.99866905577811,6.50556961486887e-05,1.99367057660327
256,6.27583092369163e-05,2.00061459175083,2.12233193681937e-05,2.00021131854369,1.61958005907084e-05,2.00605559682372
