Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
16,0.0767031060064097,0,0.0251729431017672,0,0.0140422964367854,0
32,0.0366921306129789,1.06381431880623,0.0119418777458522,1.0758441950476,0.00625888758508995,1.16580071953052
64,0.017801087886557,1.0435052684146,0.0057773236005002,1.04755649386041,0.00288496162487823,1.11735413590453
128,0.00874807949676652,1.02492717619331,0.0028367203074843,1.02617739342212,0.00138078651324822,1.06306185032928
256,0.00433353588741804,1.01342167860559,0.00140500995393951,1.0136435606103,0.00067359095953146,1.03554559745938
