Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
16,0.0303175271369491,0,0.00988672186796836,0,0.00619610157787479,0
32,0.00959780396611237,1.65937583261236,0.00316005983523873,1.64554037122649,0.00200633323183628,1.62679955259308
64,0.00258295185914286,1.89368359163017,0.000852685059125686,1.88986699302835,0.000535638935299293,1.90522850473989
128,0.000678535767207425,1.92852398427648,0.000224484469246142,1.92539734085043,0.000139933614811305,1.9365182652736
256,0.000171288187211518,1.985999205236,5.66475003000582e-05,1.98653143651535,3.49246284308288e-05,2.00242589616183
