Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
16,0.0200678943448911,0,0.00762271717843083,0,0.00615627281429934,0
32,0.00477006853885441,2.07280734672101,0.0018361747058077,2.05360201673653,0.00151017978660271,2.02733685356355
64,0.00118847609107805,2.00489711532791,0.00045770586321219,2.00421065473863,0.000372938528810096,2.01771055553045
128,0.000297714305670792,1.99711242818704,0.000114491205043336,1.99918399498772,9.40049335405729e-05,1.98812947268224
256,7.45048025627432e-05,1.99852321767225,2.8632757347161e-05,1.99949826368427,2.35503722227359e-05,1.9969866115229
