epsilon,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
1,16,0.053126052661083,0,0.0185937539369879,0,0.0139347815903312,0
1,32,0.018604463586874,1.51377072799962,0.00638876599792342,1.54120886482666,0.00497294572224692,1.48651780035269
1,64,0.00523341624963797,1.82982387846244,0.00178535933768538,1.83932282541397,0.00135790455384804,1.87271860764484
1,128,0.00134205740782404,1.96330662543324,0.000456532630408975,1.96742458861547,0.000333596319106533,2.02520680180903
1,256,0.000339342773344224,1.98363119067622,0.000115297398150667,1.98535802280166,8.24097080171089e-05,2.01721716551391
0.1,16,0.0551378031607681,0,0.0193631297074831,0,0.0142915197088502,0
0.1,32,0.0171076268874589,1.68840213972403,0.00586255191452077,1.72371145933792,0.00449852761877484,1.66763455008278
0.1,64,0.00510327426979609,1.74514456293798,0.00174835142608567,1.74553359131192,0.00136849715763288,1.71686044217196
0.1,128,0.00136450952902766,1.90304071016343,0.000467516179206841,1.90290700390017,0.000361311905571559,1.92127573938746
0.1,256,0.00034479750345052,1.98456123611856,0.000117909017116336,1.98734223988733,8.89083475590838e-05,2.02285400930657
0.01,16,0.0551378031607685,0,0.0193631297074832,0,0.0142915197088504,0
0.01,32,0.0171076268874587,1.68840213972406,0.00586255191452079,1.72371145933792,0.00449852761877504,1.66763455008273
0.01,64,0.005103274269796,1.74514456293798,0.00174835142608567,1.74553359131193,0.00136849715763336,1.71686044217151
0.01,128,0.00136450952902803,1.90304071016302,0.000467516179206901,1.90290700389998,0.000361311905571372,1.92127573938872
0.01,256,0.000344797503450785,1.98456123611784,0.000117909017116431,1.98734223988635,8.89083475585134e-05,2.02285400931508
0.001,16,0.0551378031607685,0,0.0193631297074832,0,0.0142915197088502,0
0.001,32,0.0171076268874593,1.68840213972401,0.00586255191452092,1.72371145933789,0.00449852761877506,1.66763455008271
0.001,64,0.00510327426979626,1.74514456293796,0.00174835142608574,1.74553359131191,0.00136849715763328,1.71686044217161
0.001,128,0.00136450952902823,1.90304071016288,0.000467516179206925,1.90290700389996,0.000361311905571324,1.92127573938882
0.001,256,0.000344797503450823,1.98456123611789,0.000117909017116448,1.98734223988621,8.89083475591185e-05,2.02285400930507
0.0001,16,0.0551378031607683,0,0.0193631297074831,0,0.0142915197088503,0
0.0001,32,0.0171076268874592,1.68840213972402,0.00586255191452093,1.72371145933788,0.00449852761877534,1.66763455008263
0.0001,64,0.005103274269796,1.74514456293803,0.00174835142608572,1.74553359131192,0.00136849715763347,1.71686044217149
0.0001,128,0.00136450952902766,1.90304071016341,0.000467516179206802,1.90290700390033,0.000361311905570578,1.92127573939201
0.0001,256,0.000344797503450535,1.98456123611849,0.000117909017116333,1.98734223988724,8.89083475602224e-05,2.02285400928418
1e-05,16,0.0551378031607685,0,0.0193631297074832,0,0.0142915197088501,0
1e-05,32,0.0171076268874588,1.68840213972405,0.0058625519145208,1.72371145933791,0.00449852761877521,1.66763455008265
1e-05,64,0.00510327426979588,1.74514456293803,0.00174835142608563,1.74553359131196,0.0013684971576334,1.71686044217153
1e-05,128,0.00136450952902796,1.90304071016306,0.000467516179206919,1.90290700389989,0.00036131190557054,1.92127573939208
1e-05,256,0.00034479750345096,1.98456123611703,0.000117909017116438,1.98734223988632,8.89083475593597e-05,2.02285400929802
1e-06,16,0.0551378031607679,0,0.019363129707483,0,0.0142915197088501,0
1e-06,32,0.0171076268874592,1.688402139724,0.00586255191452088,1.72371145933788,0.00449852761877542,1.66763455008258
1e-06,64,0.00510327426979607,1.74514456293801,0.00174835142608567,1.74553359131195,0.00136849715763286,1.71686044217217
1e-06,128,0.00136450952902733,1.90304071016378,0.000467516179206732,1.9029070039005,0.000361311905572268,1.92127573938461
1e-06,256,0.000344797503451011,1.98456123611615,0.00011790901711644,1.98734223988571,8.89083475586181e-05,2.02285400931696
