epsilon,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
1,16,0.0192670354362577,0,0.00732969789544281,0,0.00595724967322105,0
1,32,0.00456256323992508,2.07821814457285,0.00175785918967675,2.0599342262568,0.00145903302131779,2.02963388970479
1,64,0.00113713540922428,2.00444049616314,0.0004384018085615,2.00349385542764,0.000357197244697419,2.03021967803896
1,128,0.00028472145730614,1.99778093217313,0.000109600952972196,1.99999340745481,8.93974393539471e-05,1.99841553859395
1,256,7.12798759348255e-05,1.99798449129556,2.74096109702335e-05,1.99950658550043,2.23543443640117e-05,1.99967827497009
0.1,16,0.0200596461264845,0,0.00761977430676208,0,0.00615433998062941,0
0.1,32,0.00476804382858123,2.07282675305295,0.0018354153748557,2.05364166866436,0.0015096640833681,2.02737657387106
0.1,64,0.00118798203459666,2.00488447836064,0.000457516931076387,2.00420955939182,0.000372771390133517,2.01786452614986
0.1,128,0.00029759604185345,1.99708577570746,0.000114444036061329,1.99918285066624,9.39602470478723e-05,1.98816872698554
0.1,256,7.44761154181716e-05,1.99850560736431,2.86210072854473e-05,1.99949593057204,2.35383598860828e-05,1.99703670732717
0.01,16,0.0200596461264845,0,0.00761977430676205,0,0.00615433998062939,0
0.01,32,0.00476804382858103,2.07282675305301,0.00183541537485573,2.05364166866434,0.00150966408336822,2.02737657387094
0.01,64,0.001187982034597,2.00488447836016,0.000457516931076375,2.00420955939187,0.000372771390133253,2.017864526151
0.01,128,0.000297596041853152,1.99708577570932,0.000114444036061333,1.99918285066615,9.39602470481499e-05,1.98816872698026
0.01,256,7.44761154181757e-05,1.99850560736279,2.86210072854482e-05,1.99949593057204,2.35383598861383e-05,1.99703670732803
0.001,16,0.0200596461264846,0,0.00761977430676206,0,0.00615433998062931,0
0.001,32,0.00476804382858134,2.07282675305293,0.00183541537485569,2.05364166866437,0.00150966408336821,2.02737657387094
0.001,64,0.0011879820345969,2.00488447836038,0.00045751693107638,2.00420955939183,0.000372771390133267,2.01786452615093
0.001,128,0.000297596041853293,1.99708577570851,0.000114444036061333,1.99918285066617,9.39602470479417e-05,1.98816872698351
0.001,256,7.44761154183832e-05,1.99850560735945,2.8621007285444e-05,1.99949593057225,2.35383598858191e-05,1.9970367073444
0.0001,16,0.0200596461264846,0,0.00761977430676207,0,0.00615433998062936,0
0.0001,32,0.00476804382858097,2.07282675305303,0.00183541537485573,2.05364166866434,0.00150966408336806,2.02737657387109
0.0001,64,0.00118798203459681,2.00488447836037,0.000457516931076387,2.00420955939183,0.000372771390133378,2.01786452615036
0.0001,128,0.000297596041852989,1.99708577570988,0.000114444036061339,1.99918285066612,9.39602470482748e-05,1.98816872697883
0.0001,256,7.44761154188437e-05,1.99850560734906,2.86210072854482e-05,1.99949593057211,2.35383598855415e-05,1.99703670736653
1e-05,16,0.0200596461264846,0,0.00761977430676203,0,0.00615433998062929,0
1e-05,32,0.0047680438285811,2.072826753053,0.00183541537485572,2.05364166866434,0.00150966408336814,2.027376573871
1e-05,64,0.00118798203459669,2.00488447836056,0.000457516931076382,2.00420955939185,0.000372771390133406,2.01786452615033
1e-05,128,0.000297596041853492,1.99708577570729,0.000114444036061334,1.99918285066616,9.39602470477197e-05,1.98816872698746
1e-05,256,7.44761154185539e-05,1.99850560735711,2.86210072854479e-05,1.99949593057206,2.35383598857913e-05,1.99703670734269
1e-06,16,0.0200596461264842,0,0.00761977430676218,0,0.00615433998062981,0
1e-06,32,0.00476804382858124,2.07282675305293,0.0018354153748557,2.05364166866438,0.00150966408336797,2.02737657387128
1e-06,64,0.00118798203459691,2.00488447836034,0.000457516931076383,2.00420955939183,0.000372771390133364,2.01786452615033
1e-06,128,0.000297596041853046,1.99708577570972,0.000114444036061336,1.99918285066614,9.3960247048136e-05,1.9881687269809
1e-06,256,7.44761154188598e-05,1.99850560734902,2.86210072854526e-05,1.99949593057185,2.35383598853334e-05,1.99703670737715
