Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
16,0.0551378031607681,0,0.0193631297074831,0,0.0142915197088502,0
32,0.0171076268874589,1.68840213972403,0.00586255191452077,1.72371145933792,0.00449852761877484,1.66763455008278
64,0.00510327426979609,1.74514456293798,0.00174835142608567,1.74553359131192,0.00136849715763288,1.71686044217196
128,0.00136450952902766,1.90304071016343,0.000467516179206841,1.90290700390017,0.000361311905571559,1.92127573938746
256,0.00034479750345052,1.98456123611856,0.000117909017116336,1.98734223988733,8.89083475590838e-05,2.02285400930657
