Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
16,0.0591497192533056,0,0.0209112469156346,0,0.0159034017981506,0
32,0.0203821800867015,1.5370629499753,0.00703451671629481,1.57175587459339,0.00552893139978593,1.52426281980225
64,0.0055325665719882,1.88128756020413,0.00190335729177847,1.88590490631658,0.00145681573414264,1.92418226241718
128,0.00128471450260695,2.10650111551039,0.00044654465265359,2.09167005353255,0.000337525019292299,2.10975205706615
256,0.000280892576325113,2.19335738893513,9.74171571795932e-05,2.19655665792745,7.39606048944035e-05,2.19016551783417
