tau0,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
10,16,0.0200987144171244,0,0.00762642623655193,0,0.00615540875428726,0
10,32,0.00477000900570199,2.07503932948885,0.00183593647244964,2.05449102560173,0.00151170731876515,2.02567581627084
10,64,0.00118816346419862,2.00525865828628,0.000457710731508466,2.00400811616002,0.000371549251043476,2.02455348052344
10,128,0.000297472028989307,1.99790740705845,0.000114467859434414,1.99949354609546,9.36266921463813e-05,1.98856166794458
10,256,7.44320279357756e-05,1.99875857105376,2.86243499114527e-05,1.99962773813899,2.34498518183329e-05,1.99734108186169
1000,16,0.0192754659065311,0,0.0073326922818159,0,0.00595925496121304,0
1000,32,0.0045646681651383,2.07818384146309,0.00175865002231356,2.05987458774087,0.00145956669934158,2.02959183245884
1000,64,0.00113764760754554,2.00445624100372,0.000438595081063117,2.00350687278173,0.000357327676270752,2.03022057557665
1000,128,0.000284850899058419,1.9977748794843,0.000109650416958637,1.99997833393138,8.94336982117383e-05,1.99835722009089
1000,256,7.1310957757877e-05,1.99801127402578,2.74219569290658e-05,1.99950786225077,2.23663707712568e-05,1.99948735506536
100000,16,0.0192670354362577,0,0.00732969789544281,0,0.00595724967322105,0
100000,32,0.00456256323992508,2.07821814457285,0.00175785918967675,2.0599342262568,0.00145903302131779,2.02963388970479
100000,64,0.00113713540922428,2.00444049616314,0.0004384018085615,2.00349385542764,0.000357197244697419,2.03021967803896
100000,128,0.00028472145730614,1.99778093217313,0.000109600952972196,1.99999340745481,8.93974393539471e-05,1.99841553859395
100000,256,7.12798759348255e-05,1.99798449129556,2.74096109702335e-05,1.99950658550043,2.23543443640117e-05,1.99967827497009
