tau0,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
10,16,0.0126393320200317,0,0.00475919491604394,0,0.00409753624221085,0
10,32,0.00303592436399086,2.05771246660347,0.00112752804545321,2.07755422360464,0.00115656771990204,1.82490696803175
10,64,0.000673284786819723,2.17284707642713,0.00025394193741975,2.1505927439939,0.00025418705529065,2.18588727505634
10,128,0.000156691258921978,2.1032921660418,5.97964414608367e-05,2.08636713351592,5.8363921619467e-05,2.12274183169
10,256,3.78760136431875e-05,2.04856829697364,1.45553500716208e-05,2.03851009269379,1.39728533318298e-05,2.06245016791921
1000,16,0.012583633573107,0,0.00472586229525805,0,0.004106830686712,0
1000,32,0.00293286681136793,2.10116510477864,0.00109047853928323,2.11561621400414,0.00113299281934651,1.85788675249959
1000,64,0.000619616988657268,2.24286295069149,0.000235703587972171,2.20991575275266,0.000240096196095427,2.23845426583021
1000,128,0.000139606762686178,2.15000787170036,5.42156080992859e-05,2.1201935669141,5.31670086823463e-05,2.17500934282065
1000,256,3.40933592621714e-05,2.03380616660243,1.33144192755549e-05,2.02571874295885,1.27705357688135e-05,2.05771224640215
100000,16,0.0125829566470329,0,0.00472549143989269,0,0.00410700466885664,0
100000,32,0.00293134982983652,2.10183389961594,0.00108995239676419,2.11619924674754,0.00113271009627185,1.85830791967854
100000,64,0.000618588084054668,2.24451420280283,0.000235371257739947,2.21125506508862,0.000239855431599767,2.23954165240655
100000,128,0.000139213593126518,2.15167895683242,5.40899307203309e-05,2.12150620227975,5.30509434775381e-05,2.17671479627938
100000,256,3.3999354337694e-05,2.03372083169532,1.32838219551384e-05,2.02568975820833,1.27400079948659e-05,2.05801222584522
