tau0,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
10,16,0.0132555478779982,0,0.00493402226807321,0,0.00433210064830317,0
10,32,0.00295112072779416,2.16726145438059,0.00109799268981643,2.16789577753605,0.00112462327653872,1.94562494964225
10,64,0.000645520353258921,2.19272845184058,0.000243954570369883,2.17018403242465,0.000242864886836829,2.21121598527711
10,128,0.000150687212447316,2.09890559165798,5.7601352967138e-05,2.08243790784048,5.5768297907384e-05,2.12263677707228
10,256,3.6428282988133e-05,2.04842609100995,1.40254033844596e-05,2.03806043398625,1.34189444140759e-05,2.05517405141013
1000,16,0.0133017689560461,0,0.00493376997666572,0,0.00434562739556096,0
1000,32,0.00292023192694108,2.18746325883043,0.00108405036735382,2.18625866653332,0.00111900640060319,1.95734619130716
1000,64,0.000604920114454319,2.27126641528393,0.000229975531887326,2.23687950927052,0.000231428752670078,2.27357826751993
1000,128,0.000137303445751936,2.13937680149429,5.31502079638874e-05,2.11333313284031,5.17800872310639e-05,2.16009881499308
1000,256,3.30174403294309e-05,2.05606764660331,1.28986354606044e-05,2.04285688486025,1.23368418287473e-05,2.06942427680141
100000,16,0.0133022624081207,0,0.00493379905892598,0,0.00434579243956138,0
100000,32,0.00292001921916012,2.18762186588922,0.00108394956539307,2.18640132780078,0.00111904626286505,1.95734959077516
100000,64,0.00060420016090189,2.2728793913782,0.000229743142505325,2.23820392679194,0.000231250609444941,2.2747406076151
100000,128,0.000137000061378944,2.14085002871965,5.30550527544013e-05,2.11445974044037,5.17015488914405e-05,2.16117776073965
100000,256,3.29253385090269e-05,2.05690636136695,1.28696036394053e-05,2.0435225324443,1.23083699547499e-05,2.07056778914062
