tau0,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
10,16,0.0126393320200317,0,0.00475919491604391,0,0.00409753624221088,0
10,32,0.00303592436399088,2.05771246660346,0.00112752804545322,2.07755422360462,0.00115656771990198,1.82490696803183
10,64,0.000673284786819615,2.17284707642737,0.000253941937419752,2.1505927439939,0.00025418705529074,2.18588727505576
10,128,0.00015669125892188,2.10329216604247,5.97964414608356e-05,2.08636713351596,5.83639216197238e-05,2.12274183168417
10,256,3.78760136430698e-05,2.04856829697722,1.45553500716268e-05,2.03851009269317,1.39728533317118e-05,2.06245016793774
1000,16,0.0125836335731071,0,0.00472586229525803,0,0.00410683068671192,0
1000,32,0.00293286681136805,2.10116510477859,0.00109047853928319,2.11561621400419,0.00113299281934638,1.85788675249973
1000,64,0.0006196169886571,2.24286295069194,0.00023570358797218,2.20991575275256,0.000240096196095524,2.23845426582946
1000,128,0.000139606762686184,2.1500078716999,5.42156080992774e-05,2.12019356691439,5.31670086823602e-05,2.17500934282086
1000,256,3.40933592621952e-05,2.03380616660149,1.33144192755607e-05,2.025718742958,1.27705357688343e-05,2.05771224640018
100000,16,0.0125829566470329,0,0.00472549143989266,0,0.00410700466885668,0
100000,32,0.00293134982983641,2.10183389961601,0.00108995239676424,2.11619924674745,0.00113271009627207,1.85830791967827
100000,64,0.000618588084054653,2.24451420280281,0.00023537125773995,2.21125506508867,0.000239855431599711,2.23954165240716
100000,128,0.000139213593126402,2.15167895683358,5.40899307203264e-05,2.12150620227989,5.30509434774964e-05,2.17671479628018
100000,256,3.39993543377865e-05,2.03372083169019,1.32838219551365e-05,2.02568975820841,1.27400079947965e-05,2.05801222585195
