epsilon,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
1,16,0.0192754659065311,0,0.0073326922818159,0,0.00595925496121304,0
1,32,0.0045646681651383,2.07818384146309,0.00175865002231356,2.05987458774087,0.00145956669934158,2.02959183245884
1,64,0.00113764760754554,2.00445624100372,0.000438595081063117,2.00350687278173,0.000357327676270752,2.03022057557665
1,128,0.000284850899058419,1.9977748794843,0.000109650416958637,1.99997833393138,8.94336982117383e-05,1.99835722009089
1,256,7.1310957757877e-05,1.99801127402578,2.74219569290658e-05,1.99950786225077,2.23663707712568e-05,1.99948735506536
0.1,16,0.0200678943448911,0,0.00762271717843083,0,0.00615627281429934,0
0.1,32,0.00477006853885441,2.07280734672101,0.0018361747058077,2.05360201673653,0.00151017978660271,2.02733685356355
0.1,64,0.00118847609107805,2.00489711532791,0.00045770586321219,2.00421065473863,0.000372938528810096,2.01771055553045
0.1,128,0.000297714305670792,1.99711242818704,0.000114491205043336,1.99918399498772,9.40049335405729e-05,1.98812947268224
0.1,256,7.45048025627432e-05,1.99852321767225,2.8632757347161e-05,1.99949826368427,2.35503722227359e-05,1.9969866115229
0.01,16,0.0200678943448911,0,0.00762271717843091,0,0.00615627281429923,0
0.01,32,0.00477006853885418,2.07280734672108,0.00183617470580774,2.05360201673651,0.00151017978660313,2.02733685356312
0.01,64,0.00118847609107827,2.00489711532758,0.000457705863212184,2.00421065473867,0.000372938528809957,2.01771055553139
0.01,128,0.00029771430567068,1.99711242818785,0.000114491205043338,1.99918399498768,9.40049335405729e-05,1.98812947268171
0.01,256,7.45048025625957e-05,1.99852321767457,2.86327573471632e-05,1.99949826368418,2.35503722229857e-05,1.9969866115076
0.001,16,0.0200678943448913,0,0.00762271717843079,0,0.00615627281429909,0
0.001,32,0.00477006853885389,2.07280734672118,0.00183617470580776,2.05360201673647,0.0015101797866032,2.02733685356302
0.001,64,0.00118847609107837,2.00489711532736,0.000457705863212181,2.0042106547387,0.000372938528809902,2.01771055553167
0.001,128,0.000297714305670769,1.99711242818755,0.00011449120504333,1.99918399498777,9.40049335404758e-05,1.98812947268298
0.001,256,7.45048025627382e-05,1.99852321767223,2.86327573471671e-05,1.99949826368389,2.35503722229163e-05,1.99698661151036
0.0001,16,0.0200678943448915,0,0.00762271717843074,0,0.00615627281429873,0
0.0001,32,0.00477006853885417,2.07280734672111,0.00183617470580774,2.05360201673648,0.00151017978660317,2.02733685356297
0.0001,64,0.00118847609107816,2.0048971153277,0.000457705863212191,2.00421065473866,0.000372938528810068,2.017710555531
0.0001,128,0.000297714305670935,1.99711242818649,0.000114491205043333,1.99918399498775,9.40049335403925e-05,1.9881294726849
0.0001,256,7.45048025626043e-05,1.99852321767563,2.86327573471657e-05,1.999498263684,2.35503722229163e-05,1.99698661150908
1e-05,16,0.0200678943448915,0,0.0076227171784308,0,0.00615627281429885,0
1e-05,32,0.00477006853885394,2.07280734672118,0.00183617470580774,2.05360201673649,0.00151017978660321,2.02733685356296
1e-05,64,0.00118847609107825,2.00489711532752,0.000457705863212197,2.00421065473864,0.000372938528810041,2.01771055553115
1e-05,128,0.00029771430567092,1.99711242818667,0.000114491205043331,1.99918399498781,9.40049335403509e-05,1.98812947268544
1e-05,256,7.45048025625703e-05,1.99852321767622,2.8632757347162e-05,1.99949826368416,2.35503722231384e-05,1.99698661149484
1e-06,16,0.020067894344891,0,0.00762271717843086,0,0.00615627281429926,0
1e-06,32,0.0047700685388541,2.0728073467211,0.00183617470580774,2.05360201673651,0.00151017978660306,2.0273368535632
1e-06,64,0.00118847609107821,2.00489711532762,0.000457705863212192,2.00421065473865,0.000372938528810013,2.01771055553111
1e-06,128,0.000297714305670932,1.99711242818656,0.00011449120504333,1.9991839949878,9.40049335402815e-05,1.98812947268639
1e-06,256,7.4504802562885e-05,1.99852321767018,2.86327573471629e-05,1.9994982636841,2.35503722228192e-05,1.99698661151333
