Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
16,0.0551378031607685,0,0.0193631297074832,0,0.0142915197088501,0
32,0.0171076268874588,1.68840213972405,0.0058625519145208,1.72371145933791,0.00449852761877521,1.66763455008265
64,0.00510327426979588,1.74514456293803,0.00174835142608563,1.74553359131196,0.0013684971576334,1.71686044217153
128,0.00136450952902796,1.90304071016306,0.000467516179206919,1.90290700389989,0.00036131190557054,1.92127573939208
256,0.00034479750345096,1.98456123611703,0.000117909017116438,1.98734223988632,8.89083475593597e-05,2.02285400929802
