tau0,Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
10,16,0.0551378031607685,0,0.0193631297074832,0,0.0142915197088501,0
10,32,0.0171076268874588,1.68840213972405,0.0058625519145208,1.72371145933791,0.00449852761877521,1.66763455008265
10,64,0.00510327426979588,1.74514456293803,0.00174835142608563,1.74553359131196,0.0013684971576334,1.71686044217153
10,128,0.00136450952902796,1.90304071016306,0.000467516179206919,1.90290700389989,0.00036131190557054,1.92127573939208
10,256,0.00034479750345096,1.98456123611703,0.000117909017116438,1.98734223988632,8.89083475593597e-05,2.02285400929802
1000,16,0.0616798534160507,0,0.021910179769113,0,0.0161642192122294,0
1000,32,0.0187931948717813,1.71458898868647,0.00648099011850269,1.75731518192313,0.00501162806954479,1.68945256568192
1000,64,0.00523846611809556,1.84299400661743,0.00181225814882503,1.83842575831506,0.00144604459358003,1.79316730792487
1000,128,0.00124946246198041,2.06783687752918,0.00043552358182801,2.05696573396923,0.000332514102953697,2.12062460706825
1000,256,0.000298995630458646,2.06311125265291,0.000104355588357001,2.06124297652011,7.89926223346198e-05,2.0736257096176
100000,16,0.0617612822541,0,0.0219421194907444,0,0.0161909454370015,0
100000,32,0.0188178874241141,1.71459803127501,0.00649028611663976,1.75734890479945,0.00501961366778676,1.68953899409993
100000,64,0.00524289979236952,1.84366779711427,0.00181438751046948,1.83879946466124,0.00144803800206809,1.79347686733488
100000,128,0.00125226884714057,2.06582064697441,0.000436578047991837,2.05517111877776,0.000332419413322371,2.1230229215704
100000,256,0.000302565238501465,2.04922617287722,0.000105583017017163,2.04786179410972,7.99550513982772e-05,2.05574354983369
