Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
4x4,0.329772928779315,0,0.228963030883924,0,0.555025221034764,0
8x8,0.0722359369691359,2.19068431867362,0.0490368911763156,2.22317525132513,0.103241262128269,2.42653364715231
16x16,0.0147490666070303,2.29209309173483,0.0100551586369675,2.28593167569873,0.0201777655309905,2.35518135810215
32x32,0.00232450663455114,2.66562720789398,0.00158700457884444,2.66355764698068,0.00282878074040151,2.83451415796006
64x64,0.000309367286634418,2.90953198822824,0.000210634591282168,2.91349200439145,0.000374330262947487,2.9177967637815
