Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
4,0.759150900910945,0,0.527568691773738,0,0.526212122249602,0
8,0.420989331949585,0.85060301192237,0.317884831120394,0.730854775952307,0.391479640042127,0.426707205772322
16,0.294000952947988,0.517962843953237,0.219446253406961,0.534636536004043,0.240606741354849,0.702260213487569
32,0.26946375658757,0.12572959062252,0.200809521620002,0.128039961364575,0.205670418000401,0.226342761733952
64,0.262905565021849,0.0355465603148825,0.195935906497978,0.0354458731424628,0.197054410518544,0.0617402624072177
