Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
4,0.0226271092658709,0,0.0162460376294229,0,0.0133471651706651,0
8,0.00266777044606498,3.08434584713795,0.0020637621741013,2.97673926038623,0.00210544345362212,2.66433732340638
16,0.000328757888281509,3.02053711588355,0.00025901154143886,2.9941884352946,0.000277636365265149,2.92285567727441
32,4.09496831884217e-05,3.00510131567064,3.24090592424429e-05,2.99854733680616,3.51627113896053e-05,2.98107832104079
64,5.11419473661926e-06,3.00127328914215,4.05215227437757e-06,2.99963684848336,4.40970710378213e-06,2.995291581558
