Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
4,0.0024835731842735,0,0.00178318064994679,0,0.00146499763246083,0
8,0.000292817039233475,3.08434584713788,0.000226520512810148,2.97673926038613,0.000231095489970898,2.66433732340601
16,3.60847806876469e-05,3.02053711588355,2.84293548582068e-05,2.99418843529477,3.04736333594756e-05,2.92285567727216
32,4.49467644656504e-06,3.00510131567206,3.55724938242023e-06,2.99854733680767,3.85949287945789e-06,2.98107832103066
64,5.61338912438293e-07,3.00127328915145,4.44768114607151e-07,2.99963684848832,4.84013675109904e-07,2.99529158164534
