Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
4,0.0246906560183291,0,0.0177276435118444,0,0.0145643997285057,0
8,0.00291106573295282,3.08434584713792,0.00225197312416895,2.97673926038619,0.00229745565235917,2.66433732340648
16,0.000358739944970144,3.02053711588341,0.000282632871892763,2.99418843529455,0.000302956242107355,2.92285567727437
32,4.46842117472356e-05,3.00510131567204,3.53647001139249e-05,2.99854733680673,3.8369479785888e-05,2.98107832104509
64,5.58059898718415e-06,3.00127328914767,4.42170039331357e-06,2.99963684848426,4.81186350233948e-06,2.99529158156923
