Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
4,0.00736095729401016,0,0.00528509354782845,0,0.00434204438856689,0
8,0.00086786801146208,3.08434584713796,0.000671374546790498,2.97673926038623,0.00068493412768561,2.66433732340631
16,0.000106950152017854,3.02053711588334,8.42605598790785e-05,2.99418843529445,9.03195102815793e-05,2.92285567727426
32,1.33215810120145e-05,3.00510131567185,1.0543180669677e-05,2.99854733680671,1.14389873597381e-05,2.98107832104532
64,1.66372861010678e-06,3.00127328913592,1.31822936328672e-06,2.99963684848059,1.43454761669833e-06,2.99529158154948
