Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
4,0.00248357318427349,0,0.00178318064994679,0,0.00146499763246083,0
8,0.000292817039233479,3.08434584713786,0.000226520512810148,2.97673926038612,0.000231095489970981,2.66433732340549
16,3.60847806876384e-05,3.02053711588391,2.84293548582041e-05,2.99418843529492,3.04736333593993e-05,2.92285567727629
32,4.49467644656827e-06,3.00510131567068,3.55724938242442e-06,2.99854733680583,3.85949287946656e-06,2.9810783210238
64,5.61338912439058e-07,3.00127328915052,4.44768114606588e-07,2.99963684849184,4.84013675208783e-07,2.99529158135385
