Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
4,0.0874039463148104,0,0.039124088082552,0,0.0347710748084063,0
8,0.0417358086400367,1.06641269562472,0.0189583891709559,1.04522073700042,0.0220038860242698,0.660129327645921
16,0.00840164272006002,2.31254238207185,0.00377690276205114,2.32756084203513,0.00521135335620593,2.07802834999904
32,0.00382702991330834,1.13444625888462,0.0017046166812624,1.14775628592063,0.00258666017280063,1.01056755035285
64,0.00189419726903836,1.01463859114478,0.00076758481864353,1.15104927236002,0.00116034373058968,1.15653828911611
