Resolution,L1_Error,L1_Order,L2_Error,L2_Order,max_Error,max_Order
4,0.000416022005400236,0,0.000298699629501261,0,0.000245400963749698,0
8,4.90496244075182e-05,3.08434584713872,3.79443290015587e-05,2.97673926038681,3.87106809598414e-05,2.66433732340481
16,6.04454216253656e-06,3.02053711588428,4.76218590828476e-06,2.99418843529469,5.10462189812211e-06,2.922855677276
32,7.52900828846413e-07,3.00510131565889,5.95872926620289e-07,2.99854733680169,6.46501572054703e-07,2.98107832066506
64,9.40295786516205e-08,3.00127328912639,7.45028671422181e-08,2.99963684842386,8.10768699954778e-08,2.99529157896317
